faculty, name, id ,academicPoints, lectureHours, tutorialHours, labHours, projectHours, examA, examB, prequstite courses, linked courses
Mechanical Engineering,Theory of Vibration,034011,2,0,1,0,0,3.2.2019,3.3.2019,034010&034029&034032&034033&104228|034010&034029&034032&034033&104218,
Mechanical Engineering,Fluid Mechanics 1,034013,4,0,2,0,0,14.2.2019,11.3.2019,034035&104131&104228|034035&104131&104218,
Mechanical Engineering,Mechanical Engineering Design 1,034015,3,0,2,0,0,7.2.2019,7.3.2019,034029&034030&034042&034043&314533,034030
Mechanical Engineering,Mechanical Engineering Design 2,034016,3,0,2,0,0,10.2.2019,,034015,
Mechanical Engineering,Introduction to Mechatronics,034022,2,0,1,0,0,7.2.2019,27.2.2019,034032&114052|034032&114075,
Mechanical Engineering,Solid Mechanics 1,034028,4,0,2,0,0,,,104016,104022
Mechanical Engineering,Solid Mechanics 2,034029,4,0,2,0,0,7.2.2019,14.3.2019,034028,104218
Mechanical Engineering,Manufacturing Processes,034030,3,0,1,3,0,3.2.2019,3.3.2019,034029&034043&314533,
Mechanical Engineering,Linear Systems M,034032,4,0,2,0,0,19.2.2019,14.3.2019,104016&104131,034010
Mechanical Engineering,Numerical Analysis M,034033,3,0,2,0,0,13.2.2019,5.3.2019,104131&234111|104131&234112,104218&104228
Mechanical Engineering,Thermodynamics 1,034035,4,0,2,0,0,28.1.2019,12.3.2019,104018&104022,
Mechanical Engineering,Experimental Methods Laboratory,034039,1,0,0,4,0,,,034038|034044,
Mechanical Engineering,Introduction to Control,034040,3,0,2,0,0,12.2.2019,6.3.2019,034032,034022
Mechanical Engineering,Heat Transfer,034041,4,0,2,0,0,17.2.2019,13.3.2019,034013&034035,
Mechanical Engineering,Computer Based Engineering Drawing,034043,2,0,0,2,0,,,034036|034042,
Mechanical Engineering,Int. to Experimental Methods and Meas.,034044,2,0,1,0,0,,,034010&034029&034040&034041&094481,034022
Mechanical Engineering,Turbomachinery and Jet Engines 1,034210,3,0,1,0,0,28.1.2019,27.2.2019,034013,
Mechanical Engineering,Design of a New Project 1,034353,3,0,0,0,3,,,034015,034016
Mechanical Engineering,Research Project in Mechanical Eng. 1,034355,3,0,0,0,3,,,034014&034022&034040|034022&034040&034041,
Mechanical Engineering,Design for Manufacturing Project,034371,2,0,0,0,2,,,034015&034029&034030&034043,
Mechanical Engineering,Engineerng Project 1,034379,3,0,0,0,3,,,034010&034015&034022&034033&034040&034041,
Mechanical Engineering,Advanced Laboratory in Cad/Can,034404,2,0,0,2,0,,,035003&234112|035003&234111|035003&234102,
Mechanical Engineering,Advanced Control and Automation Laboratory,034406,2,0,0,4,0,,,035188,
Mechanical Engineering,Advanced Energy Laboratory,034410,2,0,0,4,0,,,034014|034041,
Mechanical Engineering,Design and Manufacturing Laboratory,034413,2,0,0,4,0,,,034030,
Mechanical Engineering,Introduction to Robotics,035001,2,0,1,0,0,28.1.2019,14.3.2019,034010&034032,
Mechanical Engineering,Cad Systems 1,035003,3,0,2,0,0,28.1.2019,27.2.2019,234111|234112,
Mechanical Engineering,Industrial Automation,035008,2,0,1,0,0,5.2.2019,5.3.2019,034040,
Mechanical Engineering,Kinematics of Mechanisms,035010,2,0,1,0,0,3.2.2019,4.3.2019,034010,
Mechanical Engineering,The Automotive System 2,035017,2,0,1,0,0,10.2.2019,10.3.2019,035016,
Mechanical Engineering,Applied Tribology,035024,2,0,0,2,0,4.2.2019,4.3.2019,034371,
Mechanical Engineering,Creative Overview of Mechanical Engin.,035026,2,0,1,0,3,,,,
Mechanical Engineering,Fluid Mechanics 2,035035,2,0,1,0,0,7.2.2019,7.3.2019,034013,
Mechanical Engineering,Control System Design,035036,2,0,1,0,0,,,035188,036050
Mechanical Engineering,Signal Processing for Vibrations and Diagnostics,035039,3,0,0,0,0,7.2.2019,10.3.2019,034032,
Mechanical Engineering,Mechanics of Microsystems,035041,3,0,1,0,0,19.2.2019,14.3.2019,114052|034029&114075,
Mechanical Engineering,Introduction to the Theory of Elasticity,035043,3,0,0,0,0,28.1.2019,27.2.2019,034029,
Mechanical Engineering,Hydrostatics of Ships,035044,3,0,0,0,0,31.1.2019,28.2.2019,034028&034033,
Mechanical Engineering,Cryogenics#Cryocoolers and Liquefiers,035045,3,0,2,0,0,,,034014&034035|034035&034041,
Mechanical Engineering,Principles of Marine Engineering,035049,3,0,0,0,0,14.2.2019,12.3.2019,034035&034041&035044,
Mechanical Engineering,Optical Systems Design,035050,3,0,1,0,0,31.1.2019,7.3.2019,104022&114052,
Mechanical Engineering,Renewable and Sustainable Energy,035053,3,0,2,0,0,14.2.2019,12.3.2019,,
Mechanical Engineering,Analysis of Structures,035062,2,0,1,0,0,,,,034029
Mechanical Engineering,Analysis of Manufacturing Processes,035124,2,0,1,0,0,6.2.2019,6.3.2019,034029,
Mechanical Engineering,Internal Combustion Engines,035146,2,0,1,0,0,3.2.2019,3.3.2019,034014|034041,
Mechanical Engineering,Control Theory,035188,3,0,1,0,0,11.2.2019,28.2.2019,034040036056,
Mechanical Engineering,Analytical Methods in Mechanical Engineering 1,036001,4,0,2,0,0,30.1.2019,3.3.2019,104131&104228,
Mechanical Engineering,Analytical Methods in Mechanical Engineering 2,036002,3,0,0,0,0,,,036001,
Mechanical Engineering,Analytical Dynamics 1,036005,3,0,0,0,0,4.2.2019,6.3.2019,034010,
Mechanical Engineering,Compressible Flow,036008,2,0,1,0,0,19.2.2019,14.3.2019,034013,
Mechanical Engineering,Linear Control Systems,036012,3,0,0,0,0,,,035188,
Mechanical Engineering,Finite Element Methods in Mechanical Engineering 1,036015,3,0,0,0,0,11.2.2019,11.3.2019,034033&234111,
Mechanical Engineering,Computational Geometry 1,036020,2,0,1,0,0,,,,
Mechanical Engineering,Theoretical Tribology,036031,3,0,0,0,0,6.2.2019,7.3.2019,034016&034029038752,
Mechanical Engineering,Advanced Engineering Design 1,036041,3,0,1,0,1,,,034015,
Mechanical Engineering,Neural Networks for Control and Diagnostic,036049,2,0,1,0,0,31.1.2019,6.3.2019,035039|035188046195,
Mechanical Engineering,Nonlinear Control Systems,036050,3,0,0,0,0,,,035188,
Mechanical Engineering,Linear Optics and Applications 2.,036055,2,0,1,0,0,,,035052&114210,
Mechanical Engineering,Info-Gap Analysis of Risk and Reliability,036057,3,0,0,0,0,18.2.2019,13.3.2019,014004&094480|014606&094480|034032&094480|094480&094506,
Mechanical Engineering,Contact Mechanics,036062,3,0,0,0,0,17.2.2019,13.3.2019,035043|036069|086576|014107&034029,
Mechanical Engineering,Nanooptics and Periodic Structures,036070,2,0,1,0,0,,,035052&114210,
Mechanical Engineering,Advanced Topics in Mechanical Eng.  9,036075,3,0,0,0,0,,,,
Mechanical Engineering,Principles of Micro Electromecanical Systems (Mems) Design and Production,036081,2,0,0,0,0,,,034010&034015&034029,034011&035033&035021
Mechanical Engineering,Decisions# Challenges and Implications,036083,2,0,0,0,0,,,,
Mechanical Engineering,Advanced Topics in Mechanical Engineering 10,036089,2,0,0,0,0,,,,
Mechanical Engineering,Mechanics of Composite Materials 1,036093,3,0,0,0,0,,,035043|036003,
Mechanical Engineering,Electrochemical Flow Systems,036096,3,0,0,0,0,,,034013&034035&034041,
Mechanical Engineering,Viscous Flow,038504,2,0,0,0,0,,,036032,
Mechanical Engineering,Conduction Heat Transfer,038712,3,0,2,0,0,,,034041|036001,
Mechanical Engineering,Advanced Thermodynamics 1,038715,2,0,1,0,0,28.1.2019,,034035,
Mechanical Engineering,Mechanical Behavior of Engineering Materials,038746,2,0,0,0,0,,,034029,
Mechanical Engineering,Computational Fluid Dynamics,038782,3,0,0,0,0,,,035013&035035|035035&086172|035035&038727,
Mechanical Engineering,Introduction to Chaotic Dynamical System,038786,3,0,0,0,0,,,036001,
Electrical Engineering,Research-Oriented Project for Excellent Students,044000,4,0,0,4,4,,,,
Electrical Engineering,Introduction to Software Systems,044101,3,0,1,0,0,15.2.2019,12.3.2019,234117,
Electrical Engineering,Safety in Ee Labs.,044102,0,0,0,0,0,,,,
Electrical Engineering,Theory of Electronic Circuits,044105,4,0,2,0,0,7.2.2019,1.3.2019,104035&114075|104131&114052|104035&114076|104135&114075,
Electrical Engineering,Discrete Mathematics Ee,044114,3,0,1,0,0,3.2.2019,7.3.2019,,
Electrical Engineering,Basics of Semiconductor Devices M,044125,4,0,1,0,0,6.2.2019,4.3.2019,,044105
Electrical Engineering,Signals and Systems,044131,5,0,2,0,0,28.1.2019,27.2.2019,044105&104214&104215|044105&104221&104223,
Electrical Engineering,Dc-Dc Converters,044139,3,0,1,0,0,17.2.2019,14.3.2019,044130&044142,
Electrical Engineering,Electromagnetic Fields,044140,3,0,2,0,0,11.2.2019,11.3.2019,104223,
Electrical Engineering,Linear Electronic Circuits,044142,4,0,1,0,0,19.2.2019,13.3.2019,044125&044130,
Electrical Engineering,Electronic Switching Circuits,044147,4,0,1,0,0,14.2.2019,8.3.2019,044125&044145|044125&234145,
Electrical Engineering,Waves & Distributed Systems,044148,3,0,1,0,0,11.2.2019,11.3.2019,044140|114245,
Electrical Engineering,Electrical Engineering Laboratory 1 Ch.,044151,3,0,0,4,0,,,044102&044125&044130|044102&044127&044131|044102&044125&044131,044147
Electrical Engineering,Electrical Engineering Lab 1a,044157,2,0,0,3,3,,,044102&044252&114075|044102&044145&044262&114075|044102&114075&234145&234262|044102&044252&114076|044102&044145&044262&114076,044105
Electrical Engineering,Electrical Engineering Lab. 1,044160,3,0,0,4,0,,,044102&044125&044130|044102&044127&044131|044102&044127&044130|044102&044125&044131,044137&044142&044147
Electrical Engineering,Ee Lab 2,044165,3,0,0,4,0,,,044102&044160|044102&044151,
Electrical Engineering,Ee Lab 3,044166,2,0,0,4,0,,,044159|044162|044165,
Electrical Engineering,Lab. Project a,044167,4,0,0,4,0,,,044157|044160|044151,
Electrical Engineering,Lab. Project B,044169,4,0,0,4,0,,,044102&044160&044167|044102&044151&044167|044102&044157&044167,
Electrical Engineering,Special Project,044170,4,0,0,4,0,,,044102,044151&044157&044160
Electrical Engineering,Project in Industry,044173,8,0,0,16,0,,,044160&044167|044157&044167,
Electrical Engineering,Individual Topics for Excellent Students,044180,4,0,0,4,0,,,,
Electrical Engineering,Advanced Topics for Excellent Students,044184,2,0,0,0,2,,,044182,
Electrical Engineering,Special Topics for Excellent Students,044185,1,0,0,0,1,,,,
Electrical Engineering,Control Systems 1,044191,4,0,1,0,0,10.2.2019,7.3.2019,044130|044131,
Electrical Engineering,Control Systems 2,044192,3,0,1,0,0,10.2.2019,8.3.2019,044191&044202,
Electrical Engineering,Linear Control Laboratory.,044193,2,0,0,2,0,,,044191,044192
Electrical Engineering,Intro. to Digital Signal Processing,044198,3,0,1,0,0,31.1.2019,27.2.2019,044130|044131,
Electrical Engineering,Random Signals,044202,3,0,1,0,0,4.2.2019,1.3.2019,044131&094412|044131&104222|044130&094412|044130&104222|044130&104034|044131&104034,
Electrical Engineering,Receiving and Transmitting Techniques,044214,3,0,0,0,0,28.1.2019,3.3.2019,044130&044142|044131&044142|044131&044137,
Electrical Engineering,Electron. Devices 1 (Mos),044231,4,0,1,2,0,17.2.2019,14.3.2019,044125|044127,044137&044142
Electrical Engineering,Microelectronics Processing,044239,3,0,0,4,0,3.2.2019,3.3.2019,044125|044127,
Electrical Engineering,Digital Systems and Computer Structure,044252,5,0,2,0,0,29.1.2019,4.3.2019,234114|234117,
Electrical Engineering,Logic Design and Introduction to Computers,044262,3,0,1,0,0,19.2.2019,12.3.2019,044145&234117|234117&234145,
Electrical Engineering,Int. to Data Structur and Algorithms,044268,3,0,1,0,0,17.2.2019,13.3.2019,234111|234112|234114|234117,
